StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-02-04T11:06:24.218876139Z,240,Nighthawk 64ca7d02_qps_1000_c_16_1024_mixer_serveronly,16,1000,0.666,0.799,4.005
2020-02-04T11:18:53.680023792Z,240,Nighthawk 64ca7d02_qps_1000_c_16_1024_mixer_base,16,1000,0.334,0.383,0.505
2020-02-04T10:21:31.478041463Z,240,Nighthawk 64ca7d02_qps_1000_c_2_1024_mixer_clientonly,2,994,0.6,0.701,3.018
2020-02-04T10:54:09.809428752Z,240,Nighthawk 64ca7d02_qps_1000_c_8_1024_mixer_clientonly,8,1000,0.59,0.713,3.346
2020-02-04T11:02:19.350694533Z,240,Nighthawk 64ca7d02_qps_1000_c_8_1024_mixer_base,8,1000,0.331,0.379,0.506
2020-02-04T11:51:32.323960051Z,240,Nighthawk 64ca7d02_qps_1000_c_64_1024_mixer_base,64,1000,0.336,0.398,0.551
2020-02-04T10:25:36.185289850Z,240,Nighthawk 64ca7d02_qps_1000_c_2_1024_mixer_both,2,996,1.052,1.194,7.411
2020-02-04T11:43:22.606775092Z,240,Nighthawk 64ca7d02_qps_1000_c_64_1024_mixer_clientonly,64,1000,0.576,0.704,3.577
2020-02-04T10:46:00.144697673Z,240,Nighthawk 64ca7d02_qps_1000_c_4_1024_mixer_base,4,1000,0.314,0.383,0.467
2020-02-04T11:14:48.723144728Z,240,Nighthawk 64ca7d02_qps_1000_c_16_1024_mixer_both,16,1000,1.122,1.428,5.693
2020-02-04T10:41:55.170025277Z,240,Nighthawk 64ca7d02_qps_1000_c_4_1024_mixer_both,4,1000,1.052,1.289,5.484
2020-02-04T10:33:45.586151713Z,240,Nighthawk 64ca7d02_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.653,0.762,3.572
2020-02-04T11:39:17.802029430Z,240,Nighthawk 64ca7d02_qps_1000_c_64_1024_mixer_serveronly,64,1000,0.688,0.814,4.071
2020-02-04T11:10:28.890139596Z,240,Nighthawk 64ca7d02_qps_1000_c_16_1024_mixer_clientonly,16,1000,0.59,0.718,3.419
2020-02-04T10:29:40.915704729Z,240,Nighthawk 64ca7d02_qps_1000_c_2_1024_mixer_base,2,1000,0.287,0.362,0.452
2020-02-04T11:22:58.697575223Z,240,Nighthawk 64ca7d02_qps_1000_c_32_1024_mixer_serveronly,32,1000,0.675,0.817,4.021
2020-02-04T10:17:26.618546221Z,240,Nighthawk 64ca7d02_qps_1000_c_2_1024_mixer_serveronly,2,991,0.62,0.739,3.153
2020-02-04T11:35:12.974619307Z,240,Nighthawk 64ca7d02_qps_1000_c_32_1024_mixer_base,32,1000,0.341,0.394,0.529
2020-02-04T11:31:08.231618889Z,240,Nighthawk 64ca7d02_qps_1000_c_32_1024_mixer_both,32,1000,1.04,1.402,5.856
2020-02-04T10:58:14.592008294Z,240,Nighthawk 64ca7d02_qps_1000_c_8_1024_mixer_both,8,1000,1.073,1.379,5.539
2020-02-04T11:47:27.527622138Z,240,Nighthawk 64ca7d02_qps_1000_c_64_1024_mixer_both,64,1000,1.044,1.378,5.654
2020-02-04T10:37:50.370086032Z,240,Nighthawk 64ca7d02_qps_1000_c_4_1024_mixer_clientonly,4,1000,0.615,0.735,3.36
2020-02-04T11:27:03.486160528Z,240,Nighthawk 64ca7d02_qps_1000_c_32_1024_mixer_clientonly,32,1000,0.61,0.727,3.442
2020-02-04T10:50:04.949059752Z,240,Nighthawk 64ca7d02_qps_1000_c_8_1024_mixer_serveronly,8,1000,0.65,0.795,3.825
